contrast,midtime,estimate,lower.HPD,upper.HPD
absent effect,0,-0.18812787447541446,-0.3138590995856811,-0.06501479939636205
present effect,0,0.18812787447541446,0.06501479939636205,0.3138590995856811
absent effect,1,-0.18683994450812108,-0.309933253984393,-0.0631394391970967
present effect,1,0.18683994450812108,0.0631394391970967,0.309933253984393
absent effect,2,-0.18561738564612312,-0.30693822411008204,-0.06189525381146661
present effect,2,0.18561738564612312,0.06189525381146661,0.30693822411008204
absent effect,3,-0.18433185795407592,-0.3100649092457876,-0.06655060858558393
present effect,3,0.18433185795407592,0.06655060858558393,0.3100649092457876
absent effect,4,-0.18296352481424152,-0.30570253066187403,-0.06440895859376831
present effect,4,0.18296352481424152,0.06440895859376831,0.30570253066187403
absent effect,5,-0.18165651583037756,-0.30296354668894004,-0.06367053435671644
present effect,5,0.18165651583037756,0.06367053435671644,0.30296354668894004
absent effect,6,-0.18036269218671874,-0.3035392003362171,-0.06606940942401161
present effect,6,0.18036269218671874,0.06606940942401161,0.3035392003362171
absent effect,7,-0.179064839154499,-0.3021306447143289,-0.0662828277764628
present effect,7,0.179064839154499,0.0662828277764628,0.3021306447143289
absent effect,8,-0.17786290902949764,-0.3000850676257741,-0.06569526773857719
present effect,8,0.17786290902949764,0.06569526773857719,0.3000850676257741
absent effect,9,-0.17652478044629072,-0.29282506736430775,-0.05984285221341359
present effect,9,0.17652478044629072,0.05984285221341359,0.29282506736430775
absent effect,10,-0.1752408242713126,-0.2901698922676079,-0.05901168250142928
present effect,10,0.1752408242713126,0.05901168250142928,0.2901698922676079
absent effect,11,-0.17388062037682356,-0.28970890842701025,-0.06019196493914409
present effect,11,0.17388062037682356,0.06019196493914409,0.28970890842701025
absent effect,12,-0.1725852691868262,-0.28742719043364734,-0.05951892691331925
present effect,12,0.1725852691868262,0.05951892691331925,0.28742719043364734
absent effect,13,-0.17145590650711962,-0.284533817132634,-0.057757203591202705
present effect,13,0.17145590650711962,0.057757203591202705,0.284533817132634
absent effect,14,-0.17022951839120248,-0.2816407462240542,-0.05629773521274072
present effect,14,0.17022951839120248,0.05629773521274072,0.2816407462240542
absent effect,15,-0.16886303734402963,-0.27974887847615765,-0.05563478266462009
present effect,15,0.16886303734402963,0.05563478266462009,0.27974887847615765
absent effect,16,-0.16758641328117252,-0.279921010149875,-0.0575171173832566
present effect,16,0.16758641328117252,0.0575171173832566,0.279921010149875
absent effect,17,-0.1662233108598159,-0.2789003758719277,-0.05783116619766948
present effect,17,0.1662233108598159,0.05783116619766948,0.2789003758719277
absent effect,18,-0.16479644628503815,-0.2762633243495497,-0.05633086287017097
present effect,18,0.16479644628503815,0.05633086287017097,0.2762633243495497
absent effect,19,-0.1636504342575775,-0.2738128678744183,-0.05513629693217298
present effect,19,0.1636504342575775,0.05513629693217298,0.2738128678744183
absent effect,20,-0.16227197703204008,-0.2736173506059897,-0.05598226584326882
present effect,20,0.16227197703204008,0.05598226584326882,0.2736173506059897
absent effect,21,-0.16106743676826757,-0.2707531273632449,-0.053816203343204715
present effect,21,0.16106743676826757,0.053816203343204715,0.2707531273632449
absent effect,22,-0.1598166981739912,-0.2678857108705149,-0.051578000116333726
present effect,22,0.1598166981739912,0.051578000116333726,0.2678857108705149
absent effect,23,-0.15851086104118794,-0.2672131680634024,-0.051558056492825466
present effect,23,0.15851086104118794,0.051558056492825466,0.2672131680634024
absent effect,24,-0.15718403714004026,-0.2654842278215509,-0.05024389803888149
present effect,24,0.15718403714004026,0.05024389803888149,0.2654842278215509
absent effect,25,-0.15574865573374022,-0.2637570485492045,-0.048855408910770025
present effect,25,0.15574865573374022,0.048855408910770025,0.2637570485492045
absent effect,26,-0.15448269049949442,-0.2625574992335478,-0.04799639591278466
present effect,26,0.15448269049949442,0.04799639591278466,0.2625574992335478
absent effect,27,-0.15315966928420555,-0.2591852121908777,-0.04456848007691887
present effect,27,0.15315966928420555,0.04456848007691887,0.2591852121908777
absent effect,28,-0.15185145135012995,-0.25791163414198476,-0.043580387622365685
present effect,28,0.15185145135012995,0.043580387622365685,0.25791163414198476
absent effect,29,-0.1505125672797854,-0.2559928906595745,-0.041811768029439284
present effect,29,0.1505125672797854,0.041811768029439284,0.2559928906595745
absent effect,30,-0.14927031211507893,-0.2552689554313057,-0.04123890301722536
present effect,30,0.14927031211507893,0.04123890301722536,0.2552689554313057
absent effect,31,-0.14772939800622487,-0.2532429537329136,-0.039062164458444515
present effect,31,0.14772939800622487,0.039062164458444515,0.2532429537329136
absent effect,32,-0.14640878598159993,-0.25461795183533426,-0.04064442519416881
present effect,32,0.14640878598159993,0.04064442519416881,0.25461795183533426
absent effect,33,-0.14503275907339264,-0.25368954827021584,-0.039664148355778514
present effect,33,0.14503275907339264,0.039664148355778514,0.25368954827021584
absent effect,34,-0.14373259044383546,-0.2512920331949122,-0.03740254618878807
present effect,34,0.14373259044383546,0.03740254618878807,0.2512920331949122
absent effect,35,-0.14244784949082234,-0.2505166477841473,-0.0368220987144596
present effect,35,0.14244784949082234,0.0368220987144596,0.2505166477841473
absent effect,36,-0.14102497978339285,-0.2495902484213846,-0.03556960880367071
present effect,36,0.14102497978339285,0.03556960880367071,0.2495902484213846
absent effect,37,-0.13964804849130577,-0.24946917893494205,-0.03509391018269152
present effect,37,0.13964804849130577,0.03509391018269152,0.24946917893494205
absent effect,38,-0.1384603921431012,-0.24863834126137893,-0.03383186903772783
present effect,38,0.1384603921431012,0.03383186903772783,0.24863834126137893
absent effect,39,-0.13706712019729178,-0.24875938476410075,-0.033496170256698876
present effect,39,0.13706712019729178,0.033496170256698876,0.24875938476410075
absent effect,40,-0.13563693480826727,-0.24600414681903865,-0.03037382804094393
present effect,40,0.13563693480826727,0.03037382804094393,0.24600414681903865
absent effect,41,-0.13435901118844745,-0.24330123610763926,-0.02737393790742365
present effect,41,0.13435901118844745,0.02737393790742365,0.24330123610763926
absent effect,42,-0.13296761638272503,-0.24220183803225237,-0.025878737872905146
present effect,42,0.13296761638272503,0.025878737872905146,0.24220183803225237
absent effect,43,-0.13165150524889213,-0.23963430875500807,-0.023030366483333252
present effect,43,0.13165150524889213,0.023030366483333252,0.23963430875500807
absent effect,44,-0.13021255119002928,-0.24204805512295763,-0.02472298564943939
present effect,44,0.13021255119002928,0.02472298564943939,0.24204805512295763
absent effect,45,-0.12896156068479192,-0.24063068671403637,-0.022813295809931085
present effect,45,0.12896156068479192,0.022813295809931085,0.24063068671403637
absent effect,46,-0.12766114181687782,-0.23649911719857095,-0.018018048414456058
present effect,46,0.12766114181687782,0.018018048414456058,0.23649911719857095
absent effect,47,-0.1263227502884154,-0.23840799305455387,-0.019305163458308183
present effect,47,0.1263227502884154,0.019305163458308183,0.23840799305455387
absent effect,48,-0.12486998143320574,-0.2358593891774196,-0.016278580446008887
present effect,48,0.12486998143320574,0.016278580446008887,0.2358593891774196
absent effect,49,-0.12348176965340746,-0.23597385836823304,-0.015518960478411871
present effect,49,0.12348176965340746,0.015518960478411871,0.23597385836823304
absent effect,50,-0.12201726457370837,-0.233611362006307,-0.012233452424172522
present effect,50,0.12201726457370837,0.012233452424172522,0.233611362006307
absent effect,51,-0.12060257496103657,-0.23330276598778293,-0.011289309133521806
present effect,51,0.12060257496103657,0.011289309133521806,0.23330276598778293
absent effect,52,-0.11913433352806763,-0.23297272258123836,-0.009891583093717116
present effect,52,0.11913433352806763,0.009891583093717116,0.23297272258123836
absent effect,53,-0.11784992304705744,-0.23302542886806235,-0.009224306624495887
present effect,53,0.11784992304705744,0.009224306624495887,0.23302542886806235
absent effect,54,-0.11646080266425486,-0.2320049537719628,-0.007517115296511598
present effect,54,0.11646080266425486,0.007517115296511598,0.2320049537719628
absent effect,55,-0.11505772306930465,-0.23113561381530415,-0.005697408278972839
present effect,55,0.11505772306930465,0.005697408278972839,0.23113561381530415
absent effect,56,-0.11367847033317058,-0.22809065000471304,-0.0017691373304985145
present effect,56,0.11367847033317058,0.0017691373304985145,0.22809065000471304
absent effect,57,-0.11229181826025711,-0.22736604704216576,-2.5327663486936214e-4
present effect,57,0.11229181826025711,2.5327663486936214e-4,0.22736604704216576
absent effect,58,-0.11096727897453285,-0.22598018682897536,0.0017972056594719524
present effect,58,0.11096727897453285,-0.0017972056594719524,0.22598018682897536
absent effect,59,-0.10956322340066792,-0.22437101033550974,0.004201049063291579
present effect,59,0.10956322340066792,-0.004201049063291579,0.22437101033550974
absent effect,60,-0.10820119890603344,-0.22305445682328864,0.0061676255987951865
present effect,60,0.10820119890603344,-0.0061676255987951865,0.22305445682328864
absent effect,61,-0.10662766150395582,-0.22309145260767774,0.0073241966702655426
present effect,61,0.10662766150395582,-0.0073241966702655426,0.22309145260767774
absent effect,62,-0.10511938093830298,-0.2219669223174942,0.009425605161498075
present effect,62,0.10511938093830298,-0.009425605161498075,0.2219669223174942
absent effect,63,-0.10388119112968869,-0.22514016124820696,0.0072790619519759805
present effect,63,0.10388119112968869,-0.0072790619519759805,0.22514016124820696
absent effect,64,-0.10253230249742984,-0.2214308136271357,0.012023146925391987
present effect,64,0.10253230249742984,-0.012023146925391987,0.2214308136271357
absent effect,65,-0.10118931564438136,-0.22041060492129436,0.01391090942401007
present effect,65,0.10118931564438136,-0.01391090942401007,0.22041060492129436
absent effect,66,-0.0997692686283535,-0.21936125312032684,0.015820463947271542
present effect,66,0.0997692686283535,-0.015820463947271542,0.21936125312032684
absent effect,67,-0.098324724606378755,-0.22091120739448977,0.015042278908543046
present effect,67,0.098324724606378755,-0.015042278908543046,0.22091120739448977
absent effect,68,-0.09685120755527382,-0.21262147409348736,0.02416797146888234
present effect,68,0.09685120755527382,-0.02416797146888234,0.21262147409348736
absent effect,69,-0.09544764169090648,-0.21036231738197192,0.027176458157557978
present effect,69,0.09544764169090648,-0.027176458157557978,0.21036231738197192
absent effect,70,-0.09414307651986081,-0.21192661424930967,0.0264983648900637
present effect,70,0.09414307651986081,-0.0264983648900637,0.21192661424930967
absent effect,71,-0.09273359303276715,-0.21054811951471342,0.028416176090858863
present effect,71,0.09273359303276715,-0.028416176090858863,0.21054811951471342
absent effect,72,-0.09127916829661126,-0.2094860147455588,0.03011513718785958
present effect,72,0.09127916829661126,-0.03011513718785958,0.2094860147455588
absent effect,73,-0.08994805556678534,-0.20932420560907197,0.031088080953100096
present effect,73,0.08994805556678534,-0.031088080953100096,0.20932420560907197
absent effect,74,-0.08857971280336355,-0.2088883160207012,0.03246921272155459
present effect,74,0.08857971280336355,-0.03246921272155459,0.2088883160207012
absent effect,75,-0.08720729422235621,-0.20683860953046018,0.035328085819304286
present effect,75,0.08720729422235621,-0.035328085819304286,0.20683860953046018
absent effect,76,-0.08566840679014877,-0.20607517663562985,0.03693867137773699
present effect,76,0.08566840679014877,-0.03693867137773699,0.20607517663562985
absent effect,77,-0.08428238463133775,-0.20661076169606354,0.0371611767886737
present effect,77,0.08428238463133775,-0.0371611767886737,0.20661076169606354
absent effect,78,-0.0827411624978322,-0.2050808583029099,0.039526298551939794
present effect,78,0.0827411624978322,-0.039526298551939794,0.2050808583029099
absent effect,79,-0.08135869039130778,-0.2043330266881262,0.04120791954980552
present effect,79,0.08135869039130778,-0.04120791954980552,0.2043330266881262
absent effect,80,-0.0799629195636527,-0.20393741999138304,0.04248690391891302
present effect,80,0.0799629195636527,-0.04248690391891302,0.20393741999138304
absent effect,81,-0.07853006919991454,-0.2030321190135,0.044074643578951384
present effect,81,0.07853006919991454,-0.044074643578951384,0.2030321190135
absent effect,82,-0.07714549613976653,-0.2015277734755329,0.046355873322535615
present effect,82,0.07714549613976653,-0.046355873322535615,0.2015277734755329
absent effect,83,-0.07577727821956462,-0.19900377873847935,0.049505817261733344
present effect,83,0.07577727821956462,-0.049505817261733344,0.19900377873847935
absent effect,84,-0.07435772798566764,-0.19855861775789727,0.050519264574906034
present effect,84,0.07435772798566764,-0.050519264574906034,0.19855861775789727
absent effect,85,-0.0730665464646719,-0.19727828977508893,0.05233478702000114
present effect,85,0.0730665464646719,-0.05233478702000114,0.19727828977508893
absent effect,86,-0.07175272719711147,-0.19725726929204881,0.053372444114919836
present effect,86,0.07175272719711147,-0.053372444114919836,0.19725726929204881
absent effect,87,-0.07042001080413876,-0.1955022034110062,0.05601032457548632
present effect,87,0.07042001080413876,-0.05601032457548632,0.1955022034110062
absent effect,88,-0.06916492719712801,-0.1918603090342561,0.06060839966637685
present effect,88,0.06916492719712801,-0.06060839966637685,0.1918603090342561
