contrast,midtime,estimate,lower.HPD,upper.HPD
absent effect,0,-0.17243709682047503,-0.31149883016300833,-0.03183908185755445
present effect,0,0.17243709682047503,0.03183908185755445,0.31149883016300833
absent effect,1,-0.17142318117957395,-0.30721055779513906,-0.030029598848454225
present effect,1,0.17142318117957395,0.030029598848454225,0.30721055779513906
absent effect,2,-0.17051796896713756,-0.30379788395639684,-0.02893585844522106
present effect,2,0.17051796896713756,0.02893585844522106,0.30379788395639684
absent effect,3,-0.16952830609713926,-0.3035157115058108,-0.031122272474704553
present effect,3,0.16952830609713926,0.031122272474704553,0.3035157115058108
absent effect,4,-0.16862850778431168,-0.300919064622727,-0.030771780829857095
present effect,4,0.16862850778431168,0.030771780829857095,0.300919064622727
absent effect,5,-0.16768035988171598,-0.29832022438152433,-0.030439805849256728
present effect,5,0.16768035988171598,0.030439805849256728,0.29832022438152433
absent effect,6,-0.16687461060073766,-0.2955705984374658,-0.030066094991087738
present effect,6,0.16687461060073766,0.030066094991087738,0.2955705984374658
absent effect,7,-0.1659037811543712,-0.2921718393882572,-0.028898724861384045
present effect,7,0.1659037811543712,0.028898724861384045,0.2921718393882572
absent effect,8,-0.164914202731672,-0.2913852167069953,-0.03045581698719614
present effect,8,0.164914202731672,0.03045581698719614,0.2913852167069953
absent effect,9,-0.1641576094267519,-0.2899423795502727,-0.030809898641045275
present effect,9,0.1641576094267519,0.030809898641045275,0.2899423795502727
absent effect,10,-0.16317681802045217,-0.287280823497256,-0.029953279168747085
present effect,10,0.16317681802045217,0.029953279168747085,0.287280823497256
absent effect,11,-0.16226546178337858,-0.28598975533755666,-0.030229672819316853
present effect,11,0.16226546178337858,0.030229672819316853,0.28598975533755666
absent effect,12,-0.16142157281693187,-0.2840738207271211,-0.029843826310563423
present effect,12,0.16142157281693187,0.029843826310563423,0.2840738207271211
absent effect,13,-0.1605843557402114,-0.2840106413040707,-0.03166539520790633
present effect,13,0.1605843557402114,0.03166539520790633,0.2840106413040707
absent effect,14,-0.15971204167394437,-0.280741873899784,-0.030035359558279656
present effect,14,0.15971204167394437,0.030035359558279656,0.280741873899784
absent effect,15,-0.15880817040633216,-0.27664207338556956,-0.02746095772973741
present effect,15,0.15880817040633216,0.02746095772973741,0.27664207338556956
absent effect,16,-0.15804337098847926,-0.27475797154637516,-0.026685989339123063
present effect,16,0.15804337098847926,0.026685989339123063,0.27475797154637516
absent effect,17,-0.1571435824536594,-0.2745803001857221,-0.028183698266424563
