contrast,midtime,estimate,lower.HPD,upper.HPD
absent effect,0,0.1591285297053468,-0.014360452885380182,0.34951032696639067
present effect,0,-0.1591285297053468,-0.34951032696639067,0.014360452885380182
absent effect,1,0.1574574467318114,-0.015256993395473442,0.34561706642606294
present effect,1,-0.1574574467318114,-0.34561706642606294,0.015256993395473442
absent effect,2,0.15609276334085984,-0.0152153848566512,0.3430525330585407
present effect,2,-0.15609276334085984,-0.3430525330585407,0.0152153848566512
absent effect,3,0.15480004048670193,-0.013355792695813218,0.34204541030269187
present effect,3,-0.15480004048670193,-0.34204541030269187,0.013355792695813218
absent effect,4,0.15330197833246234,-0.012885573759103638,0.3397006376311981
present effect,4,-0.15330197833246234,-0.3397006376311981,0.012885573759103638
absent effect,5,0.15190580879762228,-0.014611810959762647,0.3357570462640609
present effect,5,-0.15190580879762228,-0.3357570462640609,0.014611810959762647
absent effect,6,0.15048831607270435,-0.013698486605052393,0.33414392873062365
present effect,6,-0.15048831607270435,-0.33414392873062365,0.013698486605052393
absent effect,7,0.14903646828676553,-0.021764698648566963,0.3233561469638501
present effect,7,-0.14903646828676553,-0.3233561469638501,0.021764698648566963
absent effect,8,0.14775067876094408,-0.022612607247166183,0.3198909308650536
present effect,8,-0.14775067876094408,-0.3198909308650536,0.022612607247166183
absent effect,9,0.1464176815252505,-0.023057009517897457,0.3168815667700351
present effect,9,-0.1464176815252505,-0.3168815667700351,0.023057009517897457
absent effect,10,0.1450700479204406,-0.025985763290167056,0.3114871558770328
present effect,10,-0.1450700479204406,-0.3114871558770328,0.025985763290167056
absent effect,11,0.14363628129181444,-0.025668332340240758,0.30965038920732135
present effect,11,-0.14363628129181444,-0.30965038920732135,0.025668332340240758
absent effect,12,0.1421463689403626,-0.0243219996543988,0.3089040723695823
present effect,12,-0.1421463689403626,-0.3089040723695823,0.0243219996543988
absent effect,13,0.14062969271285758,-0.019296989278120607,0.3122859065183054
present effect,13,-0.14062969271285758,-0.3122859065183054,0.019296989278120607
absent effect,14,0.13907643346966048,-0.018773205773485457,0.310752345651513
present effect,14,-0.13907643346966048,-0.310752345651513,0.018773205773485457
absent effect,15,0.13756620584923093,-0.018630396061747077,0.3087476990124912
present effect,15,-0.13756620584923093,-0.3087476990124912,0.018630396061747077
absent effect,16,0.13628124104065048,-0.019294757674672328,0.30652209303730604
present effect,16,-0.13628124104065048,-0.30652209303730604,0.019294757674672328
absent effect,17,0.13481457502274874,-0.02016103630622228,0.30430040624003474
present effect,17,-0.13481457502274874,-0.30430040624003474,0.02016103630622228
absent effect,18,0.13317028734278796,-0.024484145175165763,0.29834973726549646
present effect,18,-0.13317028734278796,-0.29834973726549646,0.024484145175165763
absent effect,19,0.1317535688967183,-0.02429403695785523,0.2973620935340344
present effect,19,-0.1317535688967183,-0.2973620935340344,0.02429403695785523
absent effect,20,0.13048797282827623,-0.02857545836977196,0.29131275005515855
present effect,20,-0.13048797282827623,-0.29131275005515855,0.02857545836977196
absent effect,21,0.12918806749527528,-0.03032157074305722,0.28881148014489794
present effect,21,-0.12918806749527528,-0.28881148014489794,0.03032157074305722
absent effect,22,0.1277629105395683,-0.02717927476312766,0.2913286537197955
present effect,22,-0.1277629105395683,-0.2913286537197955,0.02717927476312766
