contrast,midtime,estimate,lower.HPD,upper.HPD
absent effect,0,0.0848600635737489,-0.4630089406737381,0.6130048643342905
present effect,0,-0.0848600635737489,-0.6130048643342905,0.4630089406737381
absent effect,1,0.08795139894303418,-0.45788964972494284,0.6141822177866534
present effect,1,-0.08795139894303418,-0.6141822177866534,0.45788964972494284
absent effect,2,0.09110194403767427,-0.4533813070050605,0.6157272456846693
present effect,2,-0.09110194403767427,-0.6157272456846693,0.4533813070050605
absent effect,3,0.09424230754625117,-0.44856146420767307,0.6185975308083135
present effect,3,-0.09424230754625117,-0.6185975308083135,0.44856146420767307
absent effect,4,0.0975919269164382,-0.44496409109899326,0.6184112947454569
present effect,4,-0.0975919269164382,-0.6184112947454569,0.44496409109899326
absent effect,5,0.10138585964168909,-0.4378814315138967,0.6235087100566475
present effect,5,-0.10138585964168909,-0.6235087100566475,0.4378814315138967
absent effect,6,0.10510865062193635,-0.4348171063634808,0.6237628744246317
present effect,6,-0.10510865062193635,-0.6237628744246317,0.4348171063634808
absent effect,7,0.10857757920735087,-0.43367264442310005,0.6219809174971842
present effect,7,-0.10857757920735087,-0.6219809174971842,0.43367264442310005
absent effect,8,0.11152904376143423,-0.4291234785429404,0.6238670875540709
present effect,8,-0.11152904376143423,-0.6238670875540709,0.4291234785429404
absent effect,9,0.11505295123385384,-0.42294120109603184,0.6277543515171836
present effect,9,-0.11505295123385384,-0.6277543515171836,0.42294120109603184
absent effect,10,0.11855259350488194,-0.4155981545183736,0.6329501229546846
present effect,10,-0.11855259350488194,-0.6329501229546846,0.4155981545183736
absent effect,11,0.12193796139621796,-0.41201418505551873,0.6340669082328861
present effect,11,-0.12193796139621796,-0.6340669082328861,0.41201418505551873
absent effect,12,0.12540436723756865,-0.41192434877765577,0.6315304018233278
present effect,12,-0.12540436723756865,-0.6315304018233278,0.41192434877765577
absent effect,13,0.12866340501635154,-0.40150184537585354,0.6389538864509149
present effect,13,-0.12866340501635154,-0.6389538864509149,0.40150184537585354
absent effect,14,0.1314911191251367,-0.39015521763445704,0.6493681815323585
present effect,14,-0.1314911191251367,-0.6493681815323585,0.39015521763445704
absent effect,15,0.13481859342910907,-0.3803083252177707,0.655871202525238
present effect,15,-0.13481859342910907,-0.655871202525238,0.3803083252177707
absent effect,16,0.13848922342915337,-0.37793739798902887,0.6570012780751444
present effect,16,-0.13848922342915337,-0.6570012780751444,0.37793739798902887
absent effect,17,0.14200521479375117,-0.3785335289096306,0.654755996164463
present effect,17,-0.14200521479375117,-0.654755996164463,0.3785335289096306
absent effect,18,0.14574775705527412,-0.3739231521590749,0.656256398227492
present effect,18,-0.14574775705527412,-0.656256398227492,0.3739231521590749
absent effect,19,0.14906385673540135,-0.37254797228855796,0.6557798117603794
present effect,19,-0.14906385673540135,-0.6557798117603794,0.37254797228855796
absent effect,20,0.15260149665273423,-0.36838735070955003,0.6585501885100935
present effect,20,-0.15260149665273423,-0.6585501885100935,0.36838735070955003
absent effect,21,0.15595443874515116,-0.36353016198059673,0.6624561988568113
present effect,21,-0.15595443874515116,-0.6624561988568113,0.36353016198059673
absent effect,22,0.1596173195482088,-0.36083657758417065,0.664281884950436
present effect,22,-0.1596173195482088,-0.664281884950436,0.36083657758417065
absent effect,23,0.16272340733827867,-0.35067368469891647,0.6739658715753805
present effect,23,-0.16272340733827867,-0.6739658715753805,0.35067368469891647
absent effect,24,0.16621184368498015,-0.3481966643974125,0.6770264991192214
present effect,24,-0.16621184368498015,-0.6770264991192214,0.3481966643974125
absent effect,25,0.16988475267914444,-0.3476338023600843,0.6766841645267913
present effect,25,-0.16988475267914444,-0.6766841645267913,0.3476338023600843
absent effect,26,0.17315789608782262,-0.3373174182854357,0.6857568819521697
present effect,26,-0.17315789608782262,-0.6857568819521697,0.3373174182854357
absent effect,27,0.17630149595385525,-0.3363281199290792,0.6859504980525267
present effect,27,-0.17630149595385525,-0.6859504980525267,0.3363281199290792
absent effect,28,0.1796740001912281,-0.33454057986041874,0.6876793885727783
present effect,28,-0.1796740001912281,-0.6876793885727783,0.33454057986041874
absent effect,29,0.1831187529468313,-0.33451974633475534,0.6877736925584974
present effect,29,-0.1831187529468313,-0.6877736925584974,0.33451974633475534
absent effect,30,0.18632880080130995,-0.33113444241143514,0.6906889908388176
present effect,30,-0.18632880080130995,-0.6906889908388176,0.33113444241143514
absent effect,31,0.18999354517396644,-0.3287423547301944,0.6922242969808667
present effect,31,-0.18999354517396644,-0.6922242969808667,0.3287423547301944
absent effect,32,0.1934350788735121,-0.32723379008069065,0.6941460284743383
present effect,32,-0.1934350788735121,-0.6941460284743383,0.32723379008069065
absent effect,33,0.1969247495218554,-0.31617639140047493,0.7050183408232431
present effect,33,-0.1969247495218554,-0.7050183408232431,0.31617639140047493
