contrast,midtime,estimate,lower.HPD,upper.HPD
absent effect,0,-0.22237120243466385,-0.6759266472536958,0.2652230384899803
present effect,0,0.22237120243466385,-0.2652230384899803,0.6759266472536958
absent effect,1,-0.22329966136638268,-0.6757305863475944,0.2627160886855362
present effect,1,0.22329966136638268,-0.2627160886855362,0.6757305863475944
absent effect,2,-0.22419385483733437,-0.6651026096177852,0.2698193466723863
present effect,2,0.22419385483733437,-0.2698193466723863,0.6651026096177852
absent effect,3,-0.22514354474407344,-0.68089594436595835,0.25135002938214374
present effect,3,0.22514354474407344,-0.25135002938214374,0.68089594436595835
absent effect,4,-0.2257892773559942,-0.6758458232421809,0.2530107284578792
present effect,4,0.2257892773559942,-0.2530107284578792,0.6758458232421809
absent effect,5,-0.22678841042504935,-0.6737676692832731,0.25189804433254515
present effect,5,0.22678841042504935,-0.25189804433254515,0.6737676692832731
absent effect,6,-0.2273560506021961,-0.6764871090784628,0.2464325632240714
present effect,6,0.2273560506021961,-0.2464325632240714,0.6764871090784628
absent effect,7,-0.22814219147873316,-0.6765454556891182,0.2433490936922161
present effect,7,0.22814219147873316,-0.2433490936922161,0.6765454556891182
absent effect,8,-0.22904115656534973,-0.671779458067131,0.24572864830942784
present effect,8,0.22904115656534973,-0.24572864830942784,0.671779458067131
absent effect,9,-0.22994199170576263,-0.6764667784202305,0.2377107130479176
present effect,9,0.22994199170576263,-0.2377107130479176,0.6764667784202305
absent effect,10,-0.23069058293073486,-0.6754305792269728,0.23627319079608677
present effect,10,0.23069058293073486,-0.23627319079608677,0.6754305792269728
absent effect,11,-0.2319472026040581,-0.6723445404583204,0.2384717672676069
present effect,11,0.2319472026040581,-0.2384717672676069,0.6723445404583204
absent effect,12,-0.2331032211659602,-0.6682718902925856,0.24040035712785088
present effect,12,0.2331032211659602,-0.24040035712785088,0.6682718902925856
absent effect,13,-0.2339071127624959,-0.6834042963124473,0.2235064342990266
present effect,13,0.2339071127624959,-0.2235064342990266,0.6834042963124473
absent effect,14,-0.23480764328199247,-0.6775423577096324,0.22758475477909015
present effect,14,0.23480764328199247,-0.22758475477909015,0.6775423577096324
absent effect,15,-0.23584257553832513,-0.6835978348985827,0.2196636058854437
present effect,15,0.23584257553832513,-0.2196636058854437,0.6835978348985827
absent effect,16,-0.23677302221249505,-0.6838340892490367,0.2173836980407725
